file,BsLARVcov,BtiLARVcov,models,seed
wu20181002_LSM_Fillinger2006_test_161.xml,BsLARVcov60,BtiLARVcov20,base,2
wu20181002_LSM_Fillinger2006_test_162.xml,BsLARVcov70,BtiLARVcov20,base,2
wu20181002_LSM_Fillinger2006_test_163.xml,BsLARVcov80,BtiLARVcov20,base,2
wu20181002_LSM_Fillinger2006_test_164.xml,BsLARVcov90,BtiLARVcov20,base,2
wu20181002_LSM_Fillinger2006_test_165.xml,BsLARVcov0,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_166.xml,BsLARVcov10,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_167.xml,BsLARVcov100,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_168.xml,BsLARVcov20,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_169.xml,BsLARVcov30,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_170.xml,BsLARVcov40,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_171.xml,BsLARVcov50,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_172.xml,BsLARVcov60,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_173.xml,BsLARVcov70,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_174.xml,BsLARVcov80,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_175.xml,BsLARVcov90,BtiLARVcov30,base,2
wu20181002_LSM_Fillinger2006_test_176.xml,BsLARVcov0,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_177.xml,BsLARVcov10,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_178.xml,BsLARVcov100,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_179.xml,BsLARVcov20,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_180.xml,BsLARVcov30,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_181.xml,BsLARVcov40,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_182.xml,BsLARVcov50,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_183.xml,BsLARVcov60,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_184.xml,BsLARVcov70,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_185.xml,BsLARVcov80,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_186.xml,BsLARVcov90,BtiLARVcov40,base,2
wu20181002_LSM_Fillinger2006_test_187.xml,BsLARVcov0,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_188.xml,BsLARVcov10,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_189.xml,BsLARVcov100,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_190.xml,BsLARVcov20,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_191.xml,BsLARVcov30,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_192.xml,BsLARVcov40,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_193.xml,BsLARVcov50,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_194.xml,BsLARVcov60,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_195.xml,BsLARVcov70,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_196.xml,BsLARVcov80,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_197.xml,BsLARVcov90,BtiLARVcov50,base,2
wu20181002_LSM_Fillinger2006_test_198.xml,BsLARVcov0,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_199.xml,BsLARVcov10,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_200.xml,BsLARVcov100,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_201.xml,BsLARVcov20,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_202.xml,BsLARVcov30,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_203.xml,BsLARVcov40,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_204.xml,BsLARVcov50,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_205.xml,BsLARVcov60,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_206.xml,BsLARVcov70,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_207.xml,BsLARVcov80,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_208.xml,BsLARVcov90,BtiLARVcov60,base,2
wu20181002_LSM_Fillinger2006_test_209.xml,BsLARVcov0,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_210.xml,BsLARVcov10,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_211.xml,BsLARVcov100,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_212.xml,BsLARVcov20,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_213.xml,BsLARVcov30,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_214.xml,BsLARVcov40,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_215.xml,BsLARVcov50,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_216.xml,BsLARVcov60,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_217.xml,BsLARVcov70,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_218.xml,BsLARVcov80,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_219.xml,BsLARVcov90,BtiLARVcov70,base,2
wu20181002_LSM_Fillinger2006_test_220.xml,BsLARVcov0,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_221.xml,BsLARVcov10,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_222.xml,BsLARVcov100,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_223.xml,BsLARVcov20,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_224.xml,BsLARVcov30,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_225.xml,BsLARVcov40,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_226.xml,BsLARVcov50,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_227.xml,BsLARVcov60,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_228.xml,BsLARVcov70,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_229.xml,BsLARVcov80,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_230.xml,BsLARVcov90,BtiLARVcov80,base,2
wu20181002_LSM_Fillinger2006_test_231.xml,BsLARVcov0,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_232.xml,BsLARVcov10,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_233.xml,BsLARVcov100,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_234.xml,BsLARVcov20,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_235.xml,BsLARVcov30,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_236.xml,BsLARVcov40,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_237.xml,BsLARVcov50,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_238.xml,BsLARVcov60,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_239.xml,BsLARVcov70,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_240.xml,BsLARVcov80,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_241.xml,BsLARVcov90,BtiLARVcov90,base,2
wu20181002_LSM_Fillinger2006_test_242.xml,BsLARVcov0,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_243.xml,BsLARVcov10,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_244.xml,BsLARVcov100,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_245.xml,BsLARVcov20,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_246.xml,BsLARVcov30,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_247.xml,BsLARVcov40,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_248.xml,BsLARVcov50,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_249.xml,BsLARVcov60,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_250.xml,BsLARVcov70,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_251.xml,BsLARVcov80,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_252.xml,BsLARVcov90,BtiLARVcov0,base,3
wu20181002_LSM_Fillinger2006_test_253.xml,BsLARVcov0,BtiLARVcov10,base,3
wu20181002_LSM_Fillinger2006_test_254.xml,BsLARVcov10,BtiLARVcov10,base,3
wu20181002_LSM_Fillinger2006_test_255.xml,BsLARVcov100,BtiLARVcov10,base,3
wu20181002_LSM_Fillinger2006_test_256.xml,BsLARVcov20,BtiLARVcov10,base,3
wu20181002_LSM_Fillinger2006_test_257.xml,BsLARVcov30,BtiLARVcov10,base,3
wu20181002_LSM_Fillinger2006_test_258.xml,BsLARVcov40,BtiLARVcov10,base,3
wu20181002_LSM_Fillinger2006_test_259.xml,BsLARVcov50,BtiLARVcov10,base,3
