file,LARVcov,LARVcov_dry,LARVcov_rain,models,seed
wu20181002_LSM_Fillinger2006_test1_1287.xml,LARVcov0,LARVcov_dry60,LARVcov_rain90,base,1
wu20181002_LSM_Fillinger2006_test1_1298.xml,LARVcov0,LARVcov_dry70,LARVcov_rain90,base,1
wu20181002_LSM_Fillinger2006_test1_1309.xml,LARVcov0,LARVcov_dry80,LARVcov_rain90,base,1
wu20181002_LSM_Fillinger2006_test1_1320.xml,LARVcov0,LARVcov_dry90,LARVcov_rain90,base,1
wu20181002_LSM_Fillinger2006_test1_1331.xml,LARVcov0,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1332.xml,LARVcov10,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1333.xml,LARVcov100,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1334.xml,LARVcov20,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1335.xml,LARVcov30,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1336.xml,LARVcov40,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1337.xml,LARVcov50,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1338.xml,LARVcov60,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1339.xml,LARVcov70,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1340.xml,LARVcov80,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1341.xml,LARVcov90,LARVcov_dry0,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1342.xml,LARVcov0,LARVcov_dry10,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1353.xml,LARVcov0,LARVcov_dry100,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1364.xml,LARVcov0,LARVcov_dry20,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1375.xml,LARVcov0,LARVcov_dry30,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1386.xml,LARVcov0,LARVcov_dry40,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1397.xml,LARVcov0,LARVcov_dry50,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1408.xml,LARVcov0,LARVcov_dry60,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1419.xml,LARVcov0,LARVcov_dry70,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1430.xml,LARVcov0,LARVcov_dry80,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1441.xml,LARVcov0,LARVcov_dry90,LARVcov_rain0,base,2
wu20181002_LSM_Fillinger2006_test1_1452.xml,LARVcov0,LARVcov_dry0,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1463.xml,LARVcov0,LARVcov_dry10,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1474.xml,LARVcov0,LARVcov_dry100,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1485.xml,LARVcov0,LARVcov_dry20,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1496.xml,LARVcov0,LARVcov_dry30,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1507.xml,LARVcov0,LARVcov_dry40,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1518.xml,LARVcov0,LARVcov_dry50,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1529.xml,LARVcov0,LARVcov_dry60,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1540.xml,LARVcov0,LARVcov_dry70,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1551.xml,LARVcov0,LARVcov_dry80,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1562.xml,LARVcov0,LARVcov_dry90,LARVcov_rain10,base,2
wu20181002_LSM_Fillinger2006_test1_1573.xml,LARVcov0,LARVcov_dry0,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1584.xml,LARVcov0,LARVcov_dry10,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1595.xml,LARVcov0,LARVcov_dry100,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1606.xml,LARVcov0,LARVcov_dry20,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1617.xml,LARVcov0,LARVcov_dry30,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1628.xml,LARVcov0,LARVcov_dry40,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1639.xml,LARVcov0,LARVcov_dry50,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1650.xml,LARVcov0,LARVcov_dry60,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1661.xml,LARVcov0,LARVcov_dry70,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1672.xml,LARVcov0,LARVcov_dry80,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1683.xml,LARVcov0,LARVcov_dry90,LARVcov_rain100,base,2
wu20181002_LSM_Fillinger2006_test1_1694.xml,LARVcov0,LARVcov_dry0,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1705.xml,LARVcov0,LARVcov_dry10,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1716.xml,LARVcov0,LARVcov_dry100,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1727.xml,LARVcov0,LARVcov_dry20,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1738.xml,LARVcov0,LARVcov_dry30,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1749.xml,LARVcov0,LARVcov_dry40,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1760.xml,LARVcov0,LARVcov_dry50,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1771.xml,LARVcov0,LARVcov_dry60,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1782.xml,LARVcov0,LARVcov_dry70,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1793.xml,LARVcov0,LARVcov_dry80,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1804.xml,LARVcov0,LARVcov_dry90,LARVcov_rain20,base,2
wu20181002_LSM_Fillinger2006_test1_1815.xml,LARVcov0,LARVcov_dry0,LARVcov_rain30,base,2
wu20181002_LSM_Fillinger2006_test1_1826.xml,LARVcov0,LARVcov_dry10,LARVcov_rain30,base,2
wu20181002_LSM_Fillinger2006_test1_1837.xml,LARVcov0,LARVcov_dry100,LARVcov_rain30,base,2
wu20181002_LSM_Fillinger2006_test1_1848.xml,LARVcov0,LARVcov_dry20,LARVcov_rain30,base,2
wu20181002_LSM_Fillinger2006_test1_1859.xml,LARVcov0,LARVcov_dry30,LARVcov_rain30,base,2
wu20181002_LSM_Fillinger2006_test1_1870.xml,LARVcov0,LARVcov_dry40,LARVcov_rain30,base,2
