LARVcov,EIR,outcome,outcomeLabel,Frequency_fct,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
40,3,Nv,Host-seeking mosquitoes,30,4.70737217742795,8.36555318767817,6.47252900072931,6.54713501143555,0.957072527348695,18,5.94832081809682,6.8630554270172,4.78830900763527,8.34336444674262,0.225584158058537,5.996588029945,6.94846997151362,0
40,3,Nv,Host-seeking mosquitoes,60,0.170015046778217,4.85228164197868,3.26229337880334,3.56786192792912,1.17358406644169,18,2.85780896461561,3.9007196458711,0.691184043833943,4.75060180776611,0.276616417224468,2.67868375265871,3.84590300494796,0
40,3,Nv,Host-seeking mosquitoes,once,0.460258205109267,3.18533493398961,1.86832714545205,2.05936482609305,0.807707528811799,18,1.32208410462649,2.34933200657465,0.546689873081562,3.14205561388315,0.190378490279417,1.46666364097614,2.26999064992795,0
40,10,Nv,Host-seeking mosquitoes,5,34.1719511259451,39.6381111692924,36.0606821204743,35.6903172911351,1.38453271586487,18,35.2323643577448,36.6673946367201,34.3485618313975,39.2065325467855,0.326337490720892,35.3721701989203,36.7491940420282,0
40,10,Nv,Host-seeking mosquitoes,10,16.3447870099006,21.9674350596359,18.2285936453069,18.0762139056211,1.30538139709159,18,17.5116416700953,18.9594886999966,16.4204118929103,20.8405431334002,0.307681345972743,17.5794427485649,18.8777445420489,0
40,10,Nv,Host-seeking mosquitoes,15,10.9452082885183,14.2990325543227,12.6623695282935,12.5059705700573,0.983099479859328,18,11.9951972227888,13.4100690539225,11.1230488762319,14.2747711790913,0.2317187695965,12.1734856585225,13.1512533980646,0
40,10,Nv,Host-seeking mosquitoes,20,6.4055941489182,10.7421910951674,9.02461773832614,8.84514351067492,1.13831137425393,18,8.32607859191487,9.89571835469729,6.97139580937469,10.5960703688001,0.268302563945578,8.45854880934114,9.59068666731114,0
40,10,Nv,Host-seeking mosquitoes,30,4.20512229271648,9.3121772589644,6.65712306838377,6.69358332111105,1.37302181514831,18,5.89782783595112,7.10813031142919,4.36774997273681,9.17746479224004,0.323624345402811,5.97433538308681,7.33991075368073,0
40,10,Nv,Host-seeking mosquitoes,60,1.88621842565751,6.54895664422104,3.51921959923781,3.33470591109895,1.24055108183583,18,2.65441628125916,4.34510016637612,1.89711510723865,5.93535234758742,0.292400694124807,2.90230805980402,4.1361311386716,0
40,10,Nv,Host-seeking mosquitoes,once,-1.4176978492401,3.41950289006132,1.28668331948737,1.43745869684418,1.15231866581841,18,0.583662198388466,2.00571282324096,-0.870575599215357,3.2444396621475,0.271604114229344,0.713648728282681,1.85971791069206,0
40,90,Nv,Host-seeking mosquitoes,5,33.9441965439948,39.6905828821664,35.8873304625738,35.6234645715379,1.39147967099205,18,35.2835351540767,36.0458177167837,34.0588687871004,39.1505256573576,0.327974903747234,35.1953639015095,36.5792970236381,0
