PostInterventionDays,Decay2,EIR,Frequency,Frequency_fct,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
70,decay_5dayStep,10,once,once,80,Nv0,Mosquito emergence,-2.36084502848769,1.03151020567049,-0.252303683978782,-0.11976357860923,0.988051849639806,18,-0.757314343709569,0.525887525160486,-2.25752330328092,1.00367679801927,0.232886054348073,-0.743650309302482,0.239042941344919,0
70,decay_5dayStep,10,once,once,80,PR,Prevalence,-1.50714331504454,3.50067337834464,1.20839069632672,1.18808220162154,1.43687958466029,18,0.397574739195473,2.24938862004647,-1.33916844200274,3.36630074190452,0.338675766020601,0.493847289341823,1.92293410331161,0
70,decay_5dayStep,10,once,once,80,simulatedEIR,EIR,-1.73295134315923,5.61468919924536,1.66764730575099,1.20001745550167,2.13829845479511,18,0.827062056917868,3.04133187346007,-1.68088866449972,5.3132663735813,0.504001779195446,0.604296500748728,2.73099811075325,0
75,decay_5dayStep,10,1,5,80,Nv,Host-seeking mosquitoes,79.9338978890186,89.0473778975161,82.1860234718414,81.042783906861,2.73843650405079,18,80.3941996937883,82.2834026458593,80.007885999382,88.6167783403596,0.645455673954365,80.8242310361316,83.5478159075512,0
75,decay_5dayStep,10,1,5,80,Nv0,Mosquito emergence,80.1468554944677,90.246723747371,82.6075330946669,81.3031259398263,3.07276956467446,18,80.5972462587392,82.6787572166555,80.2264370780963,89.8585955495274,0.724258732068315,81.0794807393674,84.1355854499665,0
75,decay_5dayStep,10,1,5,80,PR,Prevalence,6.88867837854074,11.5964474230381,9.66901929601999,9.78522828810076,1.32953651969341,18,9.22232971045746,10.7524667138579,6.95586774829428,11.4554251562756,0.313374762970123,9.0078563394058,10.3301822526342,0
75,decay_5dayStep,10,1,5,80,simulatedEIR,EIR,78.007203752688,84.3273187620901,79.8184143981089,79.0292168597359,1.91392697353763,18,78.4976589333315,80.0419996792567,78.2017496261243,84.0690019761682,0.451116913894767,78.8666409057496,80.7701878904682,0
75,decay_5dayStep,10,12,60,80,Nv,Host-seeking mosquitoes,12.7192501878872,16.2165761930155,14.1467766273324,14.0248380150762,0.864666033644537,18,13.7237406258714,14.5018882701643,12.8471658905388,15.773245911796,0.203803738617243,13.7167883247771,14.5767649298877,0
75,decay_5dayStep,10,12,60,80,Nv0,Mosquito emergence,-0.989529345200065,3.70232298465124,0.834880032779872,0.683060438238724,1.19951545923073,18,0.0489431186517784,1.56533821077471,-0.819805338159895,3.36421639973321,0.282728505120049,0.238375028380067,1.43138503717968,0
75,decay_5dayStep,10,12,60,80,PR,Prevalence,-1.09220864782152,2.96717760531385,1.15971956001443,1.12988037063824,1.21742824493711,18,0.265298570737092,2.2920638971588,-1.01264976349274,2.88062859028953,0.286950589201022,0.554306736849669,1.7651323831792,0
75,decay_5dayStep,10,12,60,80,simulatedEIR,EIR,-0.415749952513611,7.97468756305402,4.21890293478734,4.96636636286215,2.30566415874334,18,2.27658594507166,5.69624977460151,0.224363726218489,7.65633607250368,0.543450253928731,3.07232312327104,5.36548274630365,0
75,decay_5dayStep,10,2,10,80,Nv,Host-seeking mosquitoes,43.0657555193039,50.3992024299747,44.9725863133549,44.0927764440914,2.07896076271322,18,43.4821787794496,45.5997685574759,43.0975961924456,49.8805405535429,0.490015751045091,43.9387434484163,46.0064291782936,0
75,decay_5dayStep,10,2,10,80,Nv0,Mosquito emergence,79.8750320904979,82.5919209778089,80.5575190073791,80.2324539217981,0.774734690246047,18,79.9957230710302,80.8290609014142,79.8817149751807,82.3826473231752,0.182606717697813,80.1722525097633,80.942785504995,0
75,decay_5dayStep,10,2,10,80,PR,Prevalence,2.65936163175815,7.20014753558917,5.31084075953977,5.70223952587147,1.33120915753,18,4.43207614943888,6.20484330682754,2.95062377204608,7.10258865056673,0.313769007489032,4.64884601969811,5.97283549938143,0
75,decay_5dayStep,10,2,10,80,simulatedEIR,EIR,37.8319811140577,45.5828489172369,40.7026121379737,40.4303344231713,2.34334617706806,18,38.699446618487,42.1390533081228,38.0061260061975,45.3188165491001,0.552331990824133,39.5372934995973,41.8679307763501,0
75,decay_5dayStep,10,3,15,80,Nv,Host-seeking mosquitoes,18.2768339678023,25.2312598615559,20.0155101239955,19.5478809036826,1.72760895824786,18,18.7896481648846,20.656746914462,18.2973068888151,24.0470611366922,0.407201336538563,19.1563904008518,20.8746298471391,0
75,decay_5dayStep,10,3,15,80,Nv0,Mosquito emergence,-0.924382261489346,9.49592528333769,1.39966616132739,0.770366874058512,2.48448151630927,18,-0.314429885717397,1.79382155413487,-0.892910741248878,7.09760013638745,0.585597909304974,0.16416256992913,2.63516975272564,0
75,decay_5dayStep,10,3,15,80,PR,Prevalence,1.9273970355305,5.69654667318626,3.35772417562422,3.36754807803286,0.895366947663604,18,2.73820269462686,3.6971274664123,2.08705652962069,5.27900796889665,0.211040013447745,2.91246866770602,3.80297968354243,0
75,decay_5dayStep,10,3,15,80,simulatedEIR,EIR,23.0731281140726,31.1941644952145,26.0074266654055,25.9787282576346,2.09927211534988,18,24.2246245659797,27.3202436447587,23.4079251114339,30.2191517249175,0.494803182773242,24.963483202429,27.051370128382,0
75,decay_5dayStep,10,4,20,80,Nv,Host-seeking mosquitoes,14.6196784313358,20.783449796481,17.312395276291,17.0898302617892,1.37144012949649,18,16.4798384317619,17.9271733645565,15.1925067975322,20.0377019030975,0.323251538519441,16.6303941447641,17.9943964078179,0
75,decay_5dayStep,10,4,20,80,Nv0,Mosquito emergence,-2.44851440250557,6.81254518965851,0.834586399839963,0.416340200878445,1.92012499093812,18,-0.193035658728735,1.55958806883854,-1.83314613334205,4.90559987256424,0.452577800606033,-0.120269294060187,1.78944209374011,0
75,decay_5dayStep,10,4,20,80,PR,Prevalence,-0.164216012027887,4.94453878421588,2.49670010661161,2.66056071228528,1.43218300757539,18,1.87686448648683,3.30643613273704,-0.128640608601502,4.76956234479681,0.337568772185566,1.78449225246444,3.20890796075879,0
75,decay_5dayStep,10,4,20,80,simulatedEIR,EIR,15.9810406907644,23.4024586386123,18.5937638103711,18.1860435001007,2.25707621094943,18,16.7243974868678,19.9680054159632,16.0445887777184,23.2171921939811,0.531997964805726,17.4713462168483,19.7161814038938,0
75,decay_5dayStep,10,6,30,80,Nv,Host-seeking mosquitoes,13.3723008729454,18.3721717268833,15.8383010133758,15.92112274912,1.47246288038171,18,14.8765970246673,16.7307090950429,13.4336772997338,18.0921955055017,0.34706282925446,15.1060624497278,16.5705395770238,0
75,decay_5dayStep,10,6,30,80,Nv0,Mosquito emergence,-1.56792029684839,6.38444554253873,1.40324760573725,1.56126797903188,2.00678557270006,18,0.0628457702893579,2.28433595924966,-1.49683475541751,5.4183452207806,0.473003895614515,0.405296618393901,2.4011985930806,0
75,decay_5dayStep,10,6,30,80,PR,Prevalence,-0.150411409799745,4.47122906045586,2.51641326319334,2.75503854313437,1.20017162556196,18,1.73323211242193,3.27201469307232,0.361755620779113,4.38146302420398,0.282883165007514,1.9195819549537,3.11324457143299,0
75,decay_5dayStep,10,6,30,80,simulatedEIR,EIR,8.1546018346811,16.8084628275492,12.1623521567545,12.6347096679396,2.32796179740204,18,11.182641767942,13.3354179264305,8.22850772977197,15.9907755364048,0.54870585776207,11.0046839903997,13.3200203231093,0
75,decay_5dayStep,10,once,once,80,Nv,Host-seeking mosquitoes,-2.26734921530744,1.22663171128648,-0.127748368558058,-0.0142283419375814,1.0047432519286,18,-0.631634442391209,0.687298848078148,-2.1551762255091,1.18543117875562,0.236820255596711,-0.627395432962468,0.371898695846351,0
