PostInterventionDays,EIR,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
365,10,30,simulatedEIR,EIR,43.3586808654526,52.5102221980194,46.8009703117637,46.21029396131,2.37176794415972,18,45.2251216508735,47.5768699409411,43.698474230236,52.1174678282318,0.559031065572071,45.621517861127,47.9804227624004,0
365,10,40,Nv,Host-seeking mosquitoes,39.151698420756,47.8222448973917,41.6310750811826,41.2998685991418,2.41056298971879,18,39.8831219253104,42.0056017323329,39.2798304470486,47.4402111887373,0.568175145502491,40.4323303082638,42.8298198541015,0
365,10,40,PR,Prevalence,26.3983431133686,34.4547067633715,30.1645494703511,29.6081901899161,1.96692681004626,18,28.8824529662566,31.3888688495182,27.2067017772204,33.9958681415341,0.463609095160445,29.1864197793564,31.1426791613458,0
365,10,40,simulatedEIR,EIR,57.4741574053914,66.4695492339351,60.1083442758332,58.9496745536844,2.65435199196446,18,58.4097453847092,61.1209717510236,57.5015817494567,66.3240195255746,0.625636764391364,58.788366084255,61.4283224674113,0
365,10,50,Nv,Host-seeking mosquitoes,49.1956399775964,58.8236378947899,51.9420291385447,51.1904587660226,2.67401420024121,18,50.5297596020999,51.8366699431924,49.3399610358956,58.6175407527725,0.63027119132656,50.6122731608244,53.2717851162651,0
365,10,50,PR,Prevalence,36.8115335204523,41.6997934458202,38.8614934695059,38.4553451405091,1.38993235781492,18,37.7871823244488,40.0035079036606,36.9693965730059,41.4737359721085,0.327610198533845,38.1702963691821,39.5526905698297,0
365,10,50,simulatedEIR,EIR,68.4406714164088,75.9287340570065,71.3196597548395,70.5967296432702,2.10096043305792,18,69.9991720296198,72.0451529638072,68.9055071344586,75.8934270821979,0.495201123073295,70.2748767112189,72.3644427984601,0
365,10,60,Nv,Host-seeking mosquitoes,59.5822003353711,70.3263449110309,62.3865962224582,61.2454997487042,3.15505635424564,18,60.5888206473913,62.0442849103016,59.7499633031197,70.1938881505449,0.743653914370933,60.8176236094017,63.9555688355147,0
365,10,60,PR,Prevalence,44.5973575152536,54.6853177857175,47.7195820796452,47.1301822968083,2.56044624254009,18,46.1084039963253,48.6094109956236,44.8020644555083,53.3439155297438,0.603502966987904,46.4463021186254,48.9928620406649,0
365,10,60,simulatedEIR,EIR,78.1706060307635,86.5670354565125,80.6251270352777,79.7195998469455,2.34271239104445,18,79.3162351389239,80.3365833041254,78.5332113848197,86.1423061437689,0.55218260602576,79.460123571276,81.7901304992795,0
