PostInterventionDays,EIR,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
295,10,40,Nv,Host-seeking mosquitoes,39.151888331635,47.8216491721968,41.6311239879835,41.3002632316241,2.41033569370543,18,39.8830386986233,42.0055624653763,39.2808698942887,47.439668661699,0.568121571318365,40.4324922467129,42.8297557292541,0
295,10,40,PR,Prevalence,24.0361123386357,31.3341463197419,26.8531891004478,26.2305451544265,1.96637730085479,18,25.5098638839876,28.1476490522646,24.352220113359,31.0027819201696,0.463479574601907,25.8753326739451,27.8310455269505,0
295,10,40,simulatedEIR,EIR,55.1891733821076,64.0419563513389,57.7596840992431,56.571025443887,2.64233886842778,18,55.9612766950565,58.6373461528531,55.4017331268435,64.0061584603803,0.622805244019357,56.4456798934548,59.0736883050314,0
295,10,60,Nv,Host-seeking mosquitoes,59.5827301541332,70.3258884118453,62.3865678823504,61.2455919437022,3.15482147179366,18,60.5886992699808,62.0438110276794,59.7503566197569,70.1932638211339,0.743598552046074,60.8177120735893,63.9554236911115,0
295,10,60,PR,Prevalence,39.1750558191321,48.0426175922558,42.3826299228194,41.9445221580111,2.23591475508211,18,40.9760191539434,42.8230149893789,39.4758244158064,47.1109723251472,0.527010161824541,41.2707356737255,43.4945241719133,0
295,10,60,simulatedEIR,EIR,75.9615650313955,84.4651792301935,78.3770312751818,77.3697300671803,2.42906307044411,18,76.960584796078,78.1316695144071,76.2349758701963,84.1059139277558,0.572535656346948,77.1690866285559,79.5849759218076,0
295,10,80,Nv,Host-seeking mosquitoes,80.1401259805751,93.2429506905993,83.0923050377919,81.3185866609062,4.08864962194656,18,80.6801024965938,82.6846456152111,80.2013921691892,93.2241988479578,0.963703957858075,81.0590674150833,85.1255426605005,0
295,10,80,PR,Prevalence,55.3991826630506,63.6386073181413,58.5571885553593,57.682525486311,2.30189779755848,18,57.0642915505369,59.4691292166453,55.987364491273,63.6208518632103,0.542562514083993,57.4124817111965,59.7018953995221,0
295,10,80,simulatedEIR,EIR,91.2440609183731,97.3779780763079,92.7598943391587,91.824592938949,1.90088227666384,18,91.6126341059113,92.6946192463055,91.3212008303333,97.3601349872955,0.44804224935544,91.8146078219411,93.7051808563762,0
295,10,100,Nv,Host-seeking mosquitoes,99.9999999981114,99.9999999981718,99.9999999981333,99.9999999981278,0.0000000000167959165630615,18,99.9999999981216,99.999999998141,99.9999999981127,99.9999999981658,0.00000000000395883549932808,99.999999998125,99.9999999981417,0
