file,developmentDuration,developmentSurvival,EIR,femaleEggsLaidByOviposit,LARVcov,LSMDeployTime,models,Seasonality_grp,seed
wu31052019_LSM_forPaper_constant_duration_63.xml,developmentDuration5,developmentSurvival60,EIR3,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_64.xml,developmentDuration11,developmentSurvival90,EIR3,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_65.xml,developmentDuration5,developmentSurvival90,EIR3,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_66.xml,developmentDuration11,developmentSurvival10,EIR90,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_67.xml,developmentDuration5,developmentSurvival10,EIR90,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_68.xml,developmentDuration11,developmentSurvival60,EIR90,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_69.xml,developmentDuration5,developmentSurvival60,EIR90,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_70.xml,developmentDuration11,developmentSurvival90,EIR90,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_71.xml,developmentDuration5,developmentSurvival90,EIR90,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_72.xml,developmentDuration11,developmentSurvival10,EIR10,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_73.xml,developmentDuration5,developmentSurvival10,EIR10,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_74.xml,developmentDuration11,developmentSurvival60,EIR10,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_75.xml,developmentDuration5,developmentSurvival60,EIR10,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_76.xml,developmentDuration11,developmentSurvival90,EIR10,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_77.xml,developmentDuration5,developmentSurvival90,EIR10,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_78.xml,developmentDuration11,developmentSurvival10,EIR3,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_79.xml,developmentDuration5,developmentSurvival10,EIR3,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_80.xml,developmentDuration11,developmentSurvival60,EIR3,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_81.xml,developmentDuration5,developmentSurvival60,EIR3,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_82.xml,developmentDuration11,developmentSurvival90,EIR3,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_83.xml,developmentDuration5,developmentSurvival90,EIR3,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_84.xml,developmentDuration11,developmentSurvival10,EIR90,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_85.xml,developmentDuration5,developmentSurvival10,EIR90,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_86.xml,developmentDuration11,developmentSurvival60,EIR90,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_87.xml,developmentDuration5,developmentSurvival60,EIR90,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_88.xml,developmentDuration11,developmentSurvival90,EIR90,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_89.xml,developmentDuration5,developmentSurvival90,EIR90,femaleEggsLaidByOviposit50,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_90.xml,developmentDuration11,developmentSurvival10,EIR10,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_91.xml,developmentDuration5,developmentSurvival10,EIR10,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
